frame,timestamp,motion
2352,39.239,0.009806
2356,39.306,0.009613
2360,39.373,0.008022
2364,39.439,0.007289
2368,39.506,0.006381
2372,39.573,0.005447
2376,39.64,0.007223
2380,39.706,0.007755
2384,39.773,0.007041
2388,39.84,0.006341
2392,39.907,0.004975
2396,39.973,0.004484
2400,40.04,0.005909
2404,40.107,0.005837
2408,40.173,0.006049
2412,40.24,0.006282
2416,40.307,0.005588
2420,40.374,0.005866
2424,40.44,0.005302
2428,40.507,0.003141
2432,40.574,0.004097
2436,40.641,0.004605
2440,40.707,0.003612
2444,40.774,0.004831
2448,40.841,0.005113
2452,40.908,0.004004
2456,40.974,0.004366
2460,41.041,0.003861
2464,41.108,0.003202
2468,41.174,0.003565
2472,41.241,0.003522
2476,41.308,0.003514
2480,41.375,0.004064
2484,41.441,0.004101
2488,41.508,0.004748
2492,41.575,0.005747
2496,41.642,0.004825
2500,41.708,0.005394
2504,41.775,0.006062
2508,41.842,0.004869
2512,41.909,0.005164
2516,41.975,0.00519
2520,42.042,0.005994
2524,42.109,0.005415
2528,42.175,0.005185
2532,42.242,0.004312
2536,42.309,0.004796
2540,42.376,0.004776
2544,42.442,0.00482
2548,42.509,0.005869
2552,42.576,0.005436
2556,42.643,0.005664
2560,42.709,0.006278
2564,42.776,0.005924
2568,42.843,0.006141
2572,42.91,0.006192
2576,42.976,0.005918
2580,43.043,0.006301
2584,43.11,0.004624
2588,43.176,0.00488
2592,43.243,0.004784
2596,43.31,0.004029
2600,43.377,0.004518
2604,43.443,0.003792
2608,43.51,0.003347
2612,43.577,0.004874
2616,43.644,0.004776
2620,43.71,0.003646
2624,43.777,0.004731
2628,43.844,0.004357
2632,43.911,0.003172
2636,43.977,0.004546
2640,44.044,0.008476
2644,44.111,0.006309
2648,44.177,0.007282
2652,44.244,0.006854
2656,44.311,0.004986
2660,44.378,0.00563
2664,44.444,0.004693
2668,44.511,0.006147
2672,44.578,0.008648
2676,44.645,0.009015
2680,44.711,0.008995
2684,44.778,0.008364
2688,44.845,0.006917
2692,44.912,0.00701
2696,44.978,0.007468
2700,45.045,0.006438
2704,45.112,0.007271
2708,45.178,0.00792
2712,45.245,0.006292
2716,45.312,0.006036
2720,45.379,0.005423
2724,45.445,0.005972
2728,45.512,0.008226
2732,45.579,0.009136
2736,45.646,0.009377
2740,45.712,0.009256
2744,45.779,0.007868
2748,45.846,0.006794
2752,45.913,0.006479
2756,45.979,0.005278
2760,46.046,0.004684
2764,46.113,0.004442
2768,46.179,0.004641
2772,46.246,0.005181
2776,46.313,0.004746
2780,46.38,0.004697
2784,46.446,0.004664
2788,46.513,0.004117
2792,46.58,0.004368
2796,46.647,0.004665
2800,46.713,0.003927
2804,46.78,0.004563
2808,46.847,0.004394
2812,46.914,0.003496
2816,46.98,0.004933
2820,47.047,0.005258
2824,47.114,0.003765
2828,47.18,0.005589
2832,47.247,0.00639
2836,47.314,0.005359
2840,47.381,0.005191
2844,47.447,0.004178
2848,47.514,0.00427
2852,47.581,0.005544
2856,47.648,0.004867
2860,47.714,0.004297
2864,47.781,0.004205
2868,47.848,0.003952
2872,47.915,0.004882
2876,47.981,0.005302
2880,48.048,0.005837
2884,48.115,0.005308
2888,48.181,0.00604
2892,48.248,0.005291
2896,48.315,0.006355
2900,48.382,0.005753
2904,48.448,0.004335
2908,48.515,0.005402
2912,48.582,0.005634
2916,48.649,0.009115
2920,48.715,0.013433
2924,48.782,0.011172
2928,48.849,0.009946
2932,48.916,0.008535
2936,48.982,0.011738
2940,49.049,0.012195
2944,49.116,0.009118
2948,49.182,0.008942
2952,49.249,0.008525
2956,49.316,0.00663
2960,49.383,0.005264
2964,49.449,0.006069
2968,49.516,0.006304
2972,49.583,0.007083
2976,49.65,0.006585
2980,49.716,0.004189
2984,49.783,0.005394
2988,49.85,0.005854
2992,49.917,0.004367
2996,49.983,0.004925
3000,50.05,0.004716
3004,50.117,0.004245
3008,50.183,0.005957
3012,50.25,0.005494
3016,50.317,0.004331
3020,50.384,0.004706
3024,50.45,0.003484
3028,50.517,0.003326
3032,50.584,0.004592
3036,50.651,0.003692
3040,50.717,0.003762
3044,50.784,0.004608
3048,50.851,0.004007
3052,50.918,0.004419
3056,50.984,0.004551
3060,51.051,0.00362
3064,51.118,0.004818
3068,51.184,0.005424
3072,51.251,0.005158
3076,51.318,0.005674
3080,51.385,0.005215
3084,51.451,0.00407
3088,51.518,0.003798
3092,51.585,0.003359
3096,51.652,0.00353
3100,51.718,0.003788
3104,51.785,0.003561
3108,51.852,0.004021
3112,51.919,0.003823
3116,51.985,0.004568
3120,52.052,0.006704
3124,52.119,0.006294
3128,52.185,0.005339
3132,52.252,0.005773
3136,52.319,0.00646
3140,52.386,0.006862
3144,52.452,0.006827
3148,52.519,0.004246
3152,52.586,0.00517
3156,52.653,0.005302
3160,52.719,0.004525
3164,52.786,0.005314
3168,52.853,0.00537
3172,52.92,0.004229
3176,52.986,0.00503
3180,53.053,0.005029
3184,53.12,0.004158
3188,53.186,0.004581
3192,53.253,0.00479
3196,53.32,0.004782
3200,53.387,0.004972
3204,53.453,0.004744
3208,53.52,0.005991
3212,53.587,0.007298
3216,53.654,0.006885
3220,53.72,0.008638
3224,53.787,0.01007
3228,53.854,0.009649
3232,53.921,0.011082
3236,53.987,0.012423
3240,54.054,0.014686
3244,54.121,0.016741
3248,54.187,0.017777
3252,54.254,0.018979
3256,54.321,0.021868
3260,54.388,0.018603
3264,54.454,0.016596
3268,54.521,0.016405
3272,54.588,0.007472
3276,54.655,0.004352
3280,54.721,0.005135
3284,54.788,0.004483
3288,54.855,0.004539
3292,54.922,0.004774
3296,54.988,0.004516
3300,55.055,0.0047
3304,55.122,0.003009
3308,55.188,0.003135
3312,55.255,0.003034
3316,55.322,0.002606
3320,55.389,0.00334
3324,55.455,0.003167
3328,55.522,0.002307
3332,55.589,0.003451
3336,55.656,0.003484
3340,55.722,0.002251
3344,55.789,0.003453
3348,55.856,0.003424
3352,55.923,0.002124
3356,55.989,0.003405
3360,56.056,0.003444
3364,56.123,0.002303
3368,56.189,0.003596
3372,56.256,0.003391
3376,56.323,0.002298
3380,56.39,0.00354
3384,56.456,0.003194
3388,56.523,0.002561
3392,56.59,0.003751
3396,56.657,0.002891
3400,56.723,0.002683
3404,56.79,0.003697
3408,56.857,0.002742
3412,56.924,0.002787
3416,56.99,0.00377
3420,57.057,0.002646
3424,57.124,0.003303
3428,57.19,0.003854
3432,57.257,0.00277
3436,57.324,0.003415
3440,57.391,0.003619
3444,57.457,0.002752
3448,57.524,0.003541
3452,57.591,0.003473
3456,57.658,0.003019
3460,57.724,0.003587
3464,57.791,0.003277
3468,57.858,0.003267
3472,57.925,0.003602
3476,57.991,0.00312
3480,58.058,0.003482
3484,58.125,0.003598
3488,58.191,0.00334
3492,58.258,0.003606
3496,58.325,0.00337
3500,58.392,0.003304
3504,58.458,0.003745
3508,58.525,0.003276
3512,58.592,0.003426
3516,58.659,0.003833
3520,58.725,0.002786
3524,58.792,0.003481
3528,58.859,0.003833
3532,58.926,0.002716
3536,58.992,0.003629
3540,59.059,0.003945
3544,59.126,0.002691
3548,59.192,0.003513
3552,59.259,0.003636
3556,59.326,0.002565
3560,59.393,0.00343
3564,59.459,0.003344
3568,59.526,0.002673
3572,59.593,0.003631
3576,59.66,0.003205
3580,59.726,0.002569
3584,59.793,0.003622
3588,59.86,0.002835
3592,59.927,0.002637
3596,59.993,0.003452
3600,60.06,0.005123
3604,60.127,0.004956
3608,60.193,0.00515
3612,60.26,0.003721
3616,60.327,0.004632
3620,60.394,0.004937
3624,60.46,0.003814
3628,60.527,0.00539
3632,60.594,0.010127
3636,60.661,0.01617
3640,60.727,0.016466
3644,60.794,0.016131
3648,60.861,0.014273
3652,60.928,0.009508
3656,60.994,0.012857
3660,61.061,0.016088
3664,61.128,0.015787
3668,61.194,0.018255
3672,61.261,0.008365
3676,61.328,0.003874
3680,61.395,0.003169
3684,61.461,0.00303
3688,61.528,0.003315
3692,61.595,0.003313
3696,61.662,0.003185
3700,61.728,0.003104
3704,61.795,0.003379
3708,61.862,0.003359
3712,61.929,0.002831
3716,61.995,0.003554
3720,62.062,0.003658
3724,62.129,0.002663
3728,62.195,0.003485
3732,62.262,0.003619
3736,62.329,0.002393
3740,62.396,0.003462
3744,62.462,0.003507
3748,62.529,0.002207
3752,62.596,0.003537
3756,62.663,0.003518
3760,62.729,0.002328
3764,62.796,0.003522
3768,62.863,0.003403
3772,62.93,0.002497
3776,62.996,0.003517
3780,63.063,0.003127
3784,63.13,0.002568
3788,63.196,0.003615
3792,63.263,0.002875
3796,63.33,0.002997
3800,63.397,0.003815
3804,63.463,0.002662
3808,63.53,0.003088
3812,63.597,0.003627
3816,63.664,0.002586
3820,63.73,0.00329
3824,63.797,0.003616
3828,63.864,0.002722
3832,63.931,0.003593
3836,63.997,0.003688
3840,64.064,0.003071
3844,64.131,0.003719
3848,64.197,0.003369
3852,64.264,0.003145
3856,64.331,0.003802
3860,64.398,0.003365
3864,64.464,0.003368
3868,64.531,0.003571
3872,64.598,0.003227
3876,64.665,0.00364
3880,64.731,0.003582
3884,64.798,0.003363
3888,64.865,0.003736
3892,64.932,0.003403
3896,64.998,0.003328
3900,65.065,0.003796
3904,65.132,0.003166
3908,65.198,0.0035
3912,65.265,0.003906
3916,65.332,0.0029
3920,65.399,0.003463
3924,65.465,0.003826
3928,65.532,0.002738
3932,65.599,0.00343
3936,65.666,0.003725
3940,65.732,0.00255
3944,65.799,0.003313
3948,65.866,0.003595
3952,65.933,0.002346
3956,65.999,0.003341
3960,66.066,0.00578
3964,66.133,0.004417
3968,66.199,0.005196
3972,66.266,0.004707
3976,66.333,0.00417
3980,66.4,0.004947
3984,66.466,0.004228
3988,66.533,0.004302
3992,66.6,0.005017
3996,66.667,0.004032
4000,66.733,0.004372
4004,66.8,0.00477
4008,66.867,0.003814
4012,66.934,0.004553
4016,67.0,0.004984
4020,67.067,0.003764
4024,67.134,0.002817
4028,67.2,0.003139
4032,67.267,0.001702
4036,67.334,0.002548
4040,67.401,0.002961
4044,67.467,0.001814
4048,67.534,0.002785
4052,67.601,0.002953
4056,67.668,0.002024
4060,67.734,0.00289
4064,67.801,0.002841
4068,67.868,0.00231
4072,67.935,0.002891
4076,68.001,0.002935
4080,68.068,0.002678
4084,68.135,0.003075
4088,68.201,0.003037
4092,68.268,0.002972
4096,68.335,0.003085
4100,68.402,0.00321
4104,68.468,0.003181
4108,68.535,0.002993
4112,68.602,0.003419
4116,68.669,0.003478
4120,68.735,0.002811
4124,68.802,0.003524
4128,68.869,0.003653
4132,68.936,0.002671
4136,69.002,0.003534
4140,69.069,0.003665
4144,69.136,0.002501
4148,69.202,0.003652
4152,69.269,0.003609
4156,69.336,0.002367
4160,69.403,0.003646
4164,69.469,0.003691
4168,69.536,0.002414
4172,69.603,0.003663
4176,69.67,0.003506
4180,69.736,0.002402
4184,69.803,0.003611
4188,69.87,0.003388
4192,69.937,0.002375
4196,70.003,0.003699
4200,70.07,0.003256
4204,70.137,0.002721
4208,70.203,0.003789
4212,70.27,0.003001
4216,70.337,0.002947
4220,70.404,0.003852
4224,70.47,0.002841
4228,70.537,0.002985
4232,70.604,0.003837
4236,70.671,0.002693
4240,70.737,0.003253
4244,70.804,0.003789
4248,70.871,0.002751
4252,70.938,0.003533
4256,71.004,0.00373
4260,71.071,0.002753
4264,71.138,0.003496
4268,71.204,0.003713
4272,71.271,0.002986
4276,71.338,0.003604
4280,71.405,0.003574
4284,71.471,0.003187
4288,71.538,0.003536
4292,71.605,0.003333
4296,71.672,0.003179
4300,71.738,0.003594
4304,71.805,0.003216
4308,71.872,0.003158
4312,71.939,0.003447
4316,72.005,0.00304
4320,72.072,0.005706
4324,72.139,0.005371
4328,72.205,0.004607
4332,72.272,0.005177
4336,72.339,0.004939
4340,72.406,0.00449
4344,72.472,0.005162
4348,72.539,0.004576
4352,72.606,0.004641
4356,72.673,0.005378
4360,72.739,0.004287
4364,72.806,0.00459
4368,72.873,0.005297
4372,72.94,0.004238
4376,73.006,0.004686
4380,73.073,0.005238
4384,73.14,0.002316
4388,73.206,0.003034
4392,73.273,0.003079
4396,73.34,0.002159
4400,73.407,0.003063
4404,73.473,0.003003
4408,73.54,0.002081
4412,73.607,0.003167
4416,73.674,0.00289
4420,73.74,0.002355
4424,73.807,0.003274
4428,73.874,0.002736
4432,73.941,0.002551
4436,74.007,0.003384
4440,74.074,0.002696
4444,74.141,0.002759
4448,74.207,0.003501
4452,74.274,0.002447
4456,74.341,0.002809
4460,74.408,0.003533
4464,74.474,0.002394
4468,74.541,0.003039
4472,74.608,0.00363
4476,74.675,0.002445
4480,74.741,0.003192
4484,74.808,0.003582
4488,74.875,0.002475
4492,74.942,0.003354
4496,75.008,0.003438
4500,75.075,0.002528
4504,75.142,0.003499
4508,75.208,0.003272
4512,75.275,0.002573
4516,75.342,0.003407
4520,75.409,0.003244
4524,75.475,0.003008
4528,75.542,0.007741
4532,75.609,0.003659
4536,75.676,0.003335
4540,75.742,0.003518
4544,75.809,0.00341
4548,75.876,0.003347
4552,75.943,0.003266
4556,76.009,0.003267
4560,76.076,0.003476
4564,76.143,0.003241
4568,76.209,0.003564
4572,76.276,0.003694
4576,76.343,0.003189
4580,76.41,0.003648
4584,76.476,0.003892
4588,76.543,0.002873
4592,76.61,0.003623
4596,76.677,0.003797
4600,76.743,0.002679
4604,76.81,0.003568
4608,76.877,0.003702
4612,76.944,0.002644
